reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,0,0x4807A04E,1,0,4,1,513,3726,0x68,0x60
90,25000,0,0x4807A06A,1,0,4,1,513,3754,0xAA,0x2A
90,25000,0,0x4807A076,1,0,4,1,513,3766,0x68,0x28
90,25000,2,0x400ED8CB,1,0,4,1,3,2891,0xAA,0xBA
90,25000,2,0x400ED8E3,1,0,4,1,3,2915,0xAA,0x8A
90,25000,2,0x400ED8FB,1,0,4,1,3,2939,0xAA,0xAB
90,25000,2,0x400F18CF,1,0,4,1,3,3151,0x00,0x08
90,25000,2,0x400F18D3,1,0,4,1,3,3155,0xAA,0xA8
90,25000,2,0x400FF8DF,1,0,4,1,3,4063,0x00,0x10
90,25000,2,0x400FF8EB,1,0,4,1,3,4075,0xAA,0xA8
90,25000,2,0x400CDA47,1,0,6,1,3,775,0x00,0x11
90,25000,2,0x400CDA5F,1,0,6,1,3,799,0x00,0x20
90,25000,2,0x400DDADB,1,0,6,1,3,1883,0xAA,0xEA
90,25000,2,0x400DDADF,1,0,6,1,3,1887,0x00,0x88
90,25000,2,0x400C9BCF,1,0,7,1,3,591,0x00,0x20
90,25000,2,0x400C9BEF,1,0,7,1,3,623,0x00,0x08
90,25000,2,0x400E1B43,1,0,7,1,3,2051,0xAA,0xEA
90,25000,2,0x400E1B7F,1,0,7,1,3,2111,0x00,0x10
90,25000,4,0x44169104,1,0,6,1,261,2564,0x0A,0x0B
90,25000,4,0x44169124,1,0,6,1,261,2596,0x0A,0x0B
90,25000,6,0x441F7ACE,1,0,5,1,263,3534,0x68,0xE8
90,25000,6,0x441F7AF2,1,0,5,1,263,3570,0xAA,0xEA
90,25000,6,0x441F7AFE,1,0,5,1,263,3582,0x68,0x60
90,25000,6,0x4C1D4901,1,0,6,1,775,1281,0xAF,0x2F
90,25000,6,0x4C1D4915,1,0,6,1,775,1301,0x00,0x80
90,25000,6,0x4C1D8989,1,0,6,1,775,1609,0xAF,0xAB
90,25000,6,0x4C1D8995,1,0,6,1,775,1621,0x00,0x08
90,25000,6,0x4C1D89A1,1,0,6,1,775,1633,0xAF,0x8F
90,25000,6,0x4C1D89A5,1,0,6,1,775,1637,0x00,0x01
90,25000,10,0x4C2E4983,1,0,5,1,779,2371,0xAA,0x2A
90,25000,10,0x4C2E49A7,1,0,5,1,779,2407,0x00,0x08
90,25000,10,0x4C2E49AF,1,0,5,1,779,2415,0x00,0x40
90,25000,10,0x4C2F8983,1,0,5,1,779,3651,0xAA,0xA2
90,25000,10,0x4C2F898B,1,0,5,1,779,3659,0xAA,0xAB
90,25000,10,0x4C2D0B0B,1,0,7,1,779,1035,0xAA,0xAB
90,25000,10,0x4C2D0B0F,1,0,7,1,779,1039,0x00,0x80
90,25000,10,0x4C2D0B1F,1,0,7,1,779,1055,0x00,0x02
90,25000,12,0x443730DF,1,0,5,1,269,3295,0x00,0x20
90,25000,12,0x443730EB,1,0,5,1,269,3307,0xAA,0xAB
90,25000,12,0x443730FF,1,0,5,1,269,3327,0x00,0x10
90,25000,12,0x40375103,1,0,6,1,13,3331,0xAA,0xA2
90,25000,12,0x4037510F,1,0,6,1,13,3343,0x00,0x40
90,25000,12,0x40375117,1,0,6,1,13,3351,0x00,0x80
90,25000,12,0x443493D3,1,0,6,1,269,595,0xAA,0x8A
