reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,40,0x494A1B23,0,0,7,2,297,2083,0xAA,0xBA
90,25000,40,0x494A1B33,0,0,7,2,297,2099,0xAA,0xAE
90,25000,59,0x49E28EC2,0,0,7,2,316,2626,0xAA,0x8A
90,25000,59,0x49E28EE2,0,0,7,2,316,2658,0xAA,0xB2
90,25000,66,0x4E1A9CEB,0,0,7,2,451,2667,0xAA,0x2A
90,25000,66,0x4E1A9CFF,0,0,7,2,451,2687,0x00,0x04
90,25000,76,0x426A14A6,0,0,7,2,77,2150,0x68,0xE8
90,25000,76,0x426A14B6,0,0,7,2,77,2166,0x68,0xE8
90,25000,34,0x4D1AB884,1,0,7,0,419,2756,0x0A,0x08
90,25000,34,0x4D1AB8A8,1,0,7,0,419,2792,0xD3,0xF3
90,25000,34,0x4D1AB8AC,1,0,7,0,419,2796,0x0A,0x0B
90,25000,50,0x419B8BE7,1,0,7,0,51,3687,0x00,0x08
90,25000,50,0x419B8BEF,1,0,7,0,51,3695,0x00,0x02
90,25000,61,0x4DF2AF04,1,0,7,0,446,2692,0x0A,0x02
90,25000,61,0x4DF2AF08,1,0,7,0,446,2696,0xD3,0xC3
90,25000,61,0x4DF2AF0C,1,0,7,0,446,2700,0x0A,0x2A
90,25000,104,0x4B493B8B,1,0,7,0,361,1227,0xAA,0x8A
90,25000,104,0x4B493BB3,1,0,7,0,361,1267,0xAA,0xA8
90,25000,104,0x4B493BBB,1,0,7,0,361,1275,0xAA,0xAB
90,25000,112,0x438A8BCB,1,0,7,0,113,2635,0xAA,0x8A
90,25000,112,0x438A8BD7,1,0,7,0,113,2647,0x00,0x02
90,25000,112,0x438A8BDF,1,0,7,0,113,2655,0x00,0x01
90,25000,124,0x43E968D3,1,0,7,0,125,1491,0xAA,0xBA
90,25000,124,0x43E968EB,1,0,7,0,125,1515,0xAA,0xA2
90,25000,124,0x43E968FB,1,0,7,0,125,1531,0xAA,0x8A
90,25000,15,0x4080D393,1,0,3,0,16,851,0xAA,0xEA
90,25000,15,0x4080D3AF,1,0,3,0,16,879,0x00,0x02
90,25000,52,0x49AA7014,1,0,3,0,309,2452,0x0A,0x4A
90,25000,52,0x49AA702C,1,0,3,0,309,2476,0x0A,0x02
90,25000,52,0x49AA7038,1,0,3,0,309,2488,0xD3,0xD7
90,25000,52,0x49AB100C,1,0,3,0,309,3084,0x0A,0x08
90,25000,52,0x49AB102C,1,0,3,0,309,3116,0x0A,0x1A
90,25000,64,0x4A0B2D1F,1,0,3,0,321,3231,0x00,0x20
90,25000,64,0x4A0B2D2F,1,0,3,0,321,3247,0x00,0x01
90,25000,64,0x4A0B2D33,1,0,3,0,321,3251,0xAA,0xA8
90,25000,92,0x4EE85F1B,1,0,3,0,477,283,0xAA,0xEA
90,25000,92,0x4EE85F23,1,0,3,0,477,291,0xAA,0xEA
90,25000,92,0x4EE89F87,1,0,3,0,477,583,0x00,0x10
90,25000,92,0x4EE89FAB,1,0,3,0,477,619,0xAA,0x8A
90,25000,92,0x4EE89FAF,1,0,3,0,477,623,0x00,0x08
90,25000,92,0x4EE93F03,1,0,3,0,477,1155,0xAA,0xEA
90,25000,92,0x4EE93F2F,1,0,3,0,477,1199,0x00,0x81
90,25000,112,0x438ABBF0,1,0,3,0,113,2800,0xD3,0xD1
90,25000,112,0x438ABBFC,1,0,3,0,113,2812,0x0A,0x02
90,25000,112,0x438BBBC4,1,0,3,0,113,3780,0x0A,0x2A
90,25000,112,0x438BBBD8,1,0,3,0,113,3800,0xD3,0xC3
90,25000,112,0x438BBBDC,1,0,3,0,113,3804,0x0A,0x02
90,25000,72,0x4A4BC70D,0,0,3,2,329,3853,0x00,0x10
90,25000,72,0x4A4BC731,0,0,3,2,329,3889,0xAF,0xA7
90,25000,72,0x4A4BC73D,0,0,3,2,329,3901,0x00,0x20
90,25000,3,0x4C242182,1,1,3,0,388,194,0xAA,0xAE
90,25000,3,0x4C24218A,1,1,3,0,388,202,0xAA,0xE2
90,25000,3,0x4C250110,1,1,3,0,388,1040,0xD3,0x53
90,25000,3,0x4C250134,1,1,3,0,388,1076,0x0A,0x8A
90,25000,3,0x4C26E12A,1,1,3,0,388,2986,0xAA,0xA8
90,25000,3,0x4C26E132,1,1,3,0,388,2994,0xAA,0xA2
90,25000,26,0x44DE1CB3,1,1,3,0,155,2163,0xAA,0xA2
90,25000,26,0x44DE1CBF,1,1,3,0,155,2175,0x00,0x01
90,25000,33,0x4D176CD8,1,1,3,0,418,3544,0xD3,0xF3
90,25000,33,0x4D176CF0,1,1,3,0,418,3568,0xD3,0x93
90,25000,41,0x4955AFDE,1,1,3,0,298,1758,0x68,0x69
90,25000,41,0x4955AFE6,1,1,3,0,298,1766,0x68,0x6A
90,25000,41,0x4955AFFA,1,1,3,0,298,1786,0xAA,0x8A
90,25000,49,0x4994FD5B,1,1,3,0,306,923,0xAA,0xBA
90,25000,49,0x4994FD5F,1,1,3,0,306,927,0x00,0x80
90,25000,50,0x4D9C585C,1,1,3,0,435,284,0x0A,0x2A
90,25000,50,0x4D9C586C,1,1,3,0,435,300,0x0A,0x02
90,25000,50,0x4D9C5870,1,1,3,0,435,304,0xD3,0xC3
90,25000,59,0x49E69614,1,1,3,0,316,2580,0x0A,0x0B
90,25000,59,0x49E69628,1,1,3,0,316,2600,0xD3,0xD1
90,25000,59,0x49E6963C,1,1,3,0,316,2620,0x0A,0x2A
90,25000,104,0x4B4CCB00,1,1,3,0,361,768,0xD3,0xD1
90,25000,104,0x4B4CCB1C,1,1,3,0,361,796,0x0A,0x02
90,25000,117,0x4BB7F4C8,1,1,3,0,374,4040,0xD3,0xC3
90,25000,117,0x4BB7F4CC,1,1,3,0,374,4044,0x0A,0x1A
90,25000,22,0x44BEC34E,0,1,7,3,151,2830,0x68,0x6A
90,25000,22,0x44BEC376,0,1,7,3,151,2870,0x68,0xE8
90,25000,27,0x48E56E0D,0,1,7,3,284,1421,0x00,0x40
90,25000,27,0x48E56E21,0,1,7,3,284,1441,0xAF,0xAE
90,25000,27,0x48E56E2D,0,1,7,3,284,1453,0x00,0x80
90,25000,27,0x48E62E09,0,1,7,3,284,2185,0xAF,0xAB
90,25000,27,0x48E62E31,0,1,7,3,284,2225,0xAF,0x2F
90,25000,29,0x4CF4670B,0,1,7,3,414,395,0xAA,0xA2
90,25000,29,0x4CF4672F,0,1,7,3,414,431,0x00,0x01
90,25000,47,0x4D876893,0,1,7,3,432,3539,0xAA,0x2A
90,25000,47,0x4D87689B,0,1,7,3,432,3547,0xAA,0xBA
90,25000,54,0x49BF4491,0,1,7,3,311,3409,0xAF,0x8F
90,25000,54,0x49BF44A1,0,1,7,3,311,3425,0xAF,0xBF
