reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,0,0x48059B02,0,0,3,3,513,1538,0xAA,0xBA
90,25000,0,0x48059B12,0,0,3,3,513,1554,0xAA,0xBA
90,25000,0,0x48079B06,0,0,3,3,513,3590,0x68,0x60
90,25000,0,0x48079B2A,0,0,3,3,513,3626,0xAA,0x8A
90,25000,0,0x48079B2E,0,0,3,3,513,3630,0x68,0x78
90,25000,1,0x4808D78A,0,0,3,3,514,842,0xAA,0x8A
90,25000,1,0x4808D7B6,0,0,3,3,514,886,0x68,0x6C
90,25000,1,0x48099706,0,0,3,3,514,1542,0x68,0x48
90,25000,1,0x4809972A,0,0,3,3,514,1578,0xAA,0x8A
90,25000,1,0x480A1716,0,0,3,3,514,2070,0x68,0x69
90,25000,1,0x480A1726,0,0,3,3,514,2086,0x68,0x6C
90,25000,1,0x480AD712,0,0,3,3,514,2834,0xAA,0x8A
90,25000,1,0x480AD716,0,0,3,3,514,2838,0x68,0x48
90,25000,1,0x480AD722,0,0,3,3,514,2850,0xAA,0xAE
90,25000,1,0x480AD726,0,0,3,3,514,2854,0x68,0x6C
90,25000,1,0x480B178D,0,0,3,3,514,3149,0x00,0x04
90,25000,1,0x480B17A1,0,0,3,3,514,3169,0xAF,0xBF
90,25000,2,0x400E4390,0,0,3,3,3,2384,0xD3,0xD7
90,25000,2,0x400E43A4,0,0,3,3,3,2404,0x0A,0x0E
90,25000,2,0x400EA31C,0,0,3,3,3,2716,0x0A,0x02
90,25000,2,0x400EA324,0,0,3,3,3,2724,0x0A,0x4A
90,25000,2,0x400EA338,0,0,3,3,3,2744,0xD3,0xD7
90,25000,2,0x400EC384,0,0,3,3,3,2884,0x0A,0x8A
90,25000,2,0x400EC3B0,0,0,3,3,3,2928,0xD3,0xF3
90,25000,2,0x400FC398,0,0,3,3,3,3928,0xD3,0xD7
90,25000,2,0x400FC3AC,0,0,3,3,3,3948,0x0A,0x4A
90,25000,2,0x400FC3B4,0,0,3,3,3,3956,0x0A,0x02
90,25000,2,0x480C33D7,0,0,3,3,515,215,0x00,0x80
90,25000,2,0x480C33E3,0,0,3,3,515,227,0xAA,0xEA
90,25000,2,0x480C33F7,0,0,3,3,515,247,0x00,0x01
90,25000,2,0x480CD3E3,0,0,3,3,515,867,0xAA,0xEA
90,25000,2,0x480CD3EF,0,0,3,3,515,879,0x00,0x20
90,25000,2,0x480D33D1,0,0,3,3,515,1233,0xAF,0x2F
90,25000,2,0x480D33ED,0,0,3,3,515,1261,0x00,0x04
90,25000,2,0x480F93CA,0,0,3,3,515,3658,0xAA,0x2A
90,25000,2,0x480F93FE,0,0,3,3,515,3710,0x68,0x6C
90,25000,2,0x480FD351,0,0,3,3,515,3857,0xAF,0xA7
90,25000,2,0x480FD355,0,0,3,3,515,3861,0x00,0x02
