reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,7,0x40111249,0,0,0,0,8,2185,0xAF,0xBF
90,25000,7,0x40111265,0,0,0,0,8,2213,0x00,0x40
90,25000,9,0x4015688B,0,0,2,0,10,2891,0xAA,0xAB
90,25000,9,0x40156893,0,0,2,0,10,2899,0xAA,0xA8
90,25000,9,0x401568AF,0,0,2,0,10,2927,0x00,0x20
90,25000,16,0x4022A198,0,0,1,0,17,1368,0xD3,0xD2
90,25000,16,0x4022A1AC,0,0,1,0,17,1388,0x0A,0x1A
90,25000,16,0x4022A1B4,0,0,1,0,17,1396,0x0A,0x2A
90,25000,28,0x443BBAEF,0,0,1,0,541,3567,0x00,0x20
90,25000,28,0x443BBAFB,0,0,1,0,541,3579,0xAA,0xAE
90,25000,35,0x4048A901,0,0,0,0,36,1281,0xAF,0x8F
90,25000,35,0x4048A939,0,0,0,0,36,1337,0xAF,0x8F
90,25000,47,0x446006C1,0,0,2,0,560,65,0xAF,0xA7
90,25000,47,0x446006C5,0,0,2,0,560,69,0x00,0x10
90,25000,47,0x446006D5,0,0,2,0,560,85,0x00,0x04
90,25000,47,0x4060CF1D,0,0,3,0,48,1565,0x00,0x01
90,25000,47,0x4060CF2D,0,0,3,0,48,1581,0x00,0x10
90,25000,47,0x4060CF39,0,0,3,0,48,1593,0xAF,0x8F
90,25000,47,0x4461574F,0,0,3,0,560,2703,0x00,0x10
90,25000,47,0x4461575F,0,0,3,0,560,2719,0x00,0x40
90,25000,47,0x4461775D,0,0,3,0,560,2973,0x00,0x40
90,25000,47,0x44617761,0,0,3,0,560,2977,0xAF,0xBF
90,25000,47,0x4461A747,0,0,3,0,560,3335,0x00,0x01
90,25000,47,0x4461A77F,0,0,3,0,560,3391,0x00,0x04
90,25000,59,0x4078CF18,0,0,0,0,60,1560,0xD3,0xD2
90,25000,59,0x4078CF30,0,0,0,0,60,1584,0xD3,0xF3
90,25000,59,0x4078CF38,0,0,0,0,60,1592,0xD3,0xC3
90,25000,59,0x40796D14,0,0,2,0,60,2836,0x0A,0x0B
90,25000,59,0x40796D2C,0,0,2,0,60,2860,0x0A,0x1A
