reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,2,0x401E8B50,1,1,3,1,3,2576,0xD3,0xD7
90,25000,2,0x401E8B64,1,1,3,1,3,2596,0x0A,0x8A
90,25000,2,0x401F8B44,1,1,3,1,3,3588,0x0A,0x8A
90,25000,2,0x401F8B5C,1,1,3,1,3,3612,0x0A,0x08
90,25000,9,0x44578C06,1,1,3,1,138,3590,0x68,0x60
90,25000,9,0x44578C32,1,1,3,1,138,3634,0xAA,0xEA
90,25000,9,0x44578C36,1,1,3,1,138,3638,0x68,0x6C
90,25000,9,0x48566F00,1,1,3,1,266,2432,0xD3,0xF3
90,25000,9,0x48566F20,1,1,3,1,266,2464,0xD3,0xD0
90,25000,12,0x4C6D6317,1,1,3,1,397,1431,0x00,0x02
90,25000,12,0x4C6D6323,1,1,3,1,397,1443,0xAA,0x8A
90,25000,12,0x4C6D6337,1,1,3,1,397,1463,0x00,0x01
90,25000,12,0x4C6E2398,1,1,3,1,397,2264,0xD3,0xD7
90,25000,12,0x4C6E23AC,1,1,3,1,397,2284,0x0A,0x4A
90,25000,12,0x4C6E23B4,1,1,3,1,397,2292,0x0A,0x02
90,25000,18,0x489D79EE,1,1,3,1,275,1518,0x68,0x69
90,25000,18,0x489D79FA,1,1,3,1,275,1530,0xAA,0xA2
90,25000,21,0x44B47F77,1,1,3,1,150,439,0x00,0x01
90,25000,21,0x44B47F7F,1,1,3,1,150,447,0x00,0x04
90,25000,21,0x48B45CD7,1,1,3,1,278,343,0x00,0x10
90,25000,21,0x48B45CEF,1,1,3,1,278,367,0x00,0x20
90,25000,21,0x48B45CFB,1,1,3,1,278,379,0xAA,0xA2
90,25000,25,0x44D79C4D,1,1,3,1,154,3597,0x00,0x20
90,25000,25,0x44D79C6D,1,1,3,1,154,3629,0x00,0x80
90,25000,37,0x45344BE3,1,1,3,1,166,355,0xAA,0xAB
90,25000,37,0x45344BF3,1,1,3,1,166,371,0xAA,0xAE
90,25000,76,0x4A6E8A07,1,1,3,1,333,2567,0x00,0x80
90,25000,76,0x4A6E8A0F,1,1,3,1,333,2575,0x00,0x80
90,25000,80,0x4E8DB804,1,1,3,1,465,1668,0x0A,0x2E
90,25000,80,0x4E8DD80C,1,1,3,1,465,1804,0x0A,0x08
90,25000,80,0x4E8DD830,1,1,3,1,465,1840,0xD3,0x53
90,25000,84,0x46AE3BA4,1,1,3,1,213,2276,0x0A,0x8A
90,25000,84,0x46AE3BBC,1,1,3,1,213,2300,0x0A,0x2A
90,25000,102,0x4B3F04F2,1,1,3,1,359,3186,0xAA,0xEA
90,25000,112,0x438F5FC3,1,1,3,1,113,3395,0xAA,0xA2
90,25000,112,0x438F5FCF,1,1,3,1,113,3407,0x00,0x01
90,25000,112,0x4F8EBCDC,1,1,3,1,497,2780,0x0A,0x02
90,25000,112,0x4F8EBCE0,1,1,3,1,497,2784,0xD3,0xF3
90,25000,112,0x4F8EBCFC,1,1,3,1,497,2812,0x0A,0x1A
90,25000,112,0x4F8F9C4C,1,1,3,1,497,3596,0x0A,0x1A
90,25000,112,0x4F8F9C7C,1,1,3,1,497,3644,0x0A,0x1A
90,25000,124,0x4FEF3F53,1,1,3,1,509,3219,0xAA,0x2A
90,25000,124,0x4FEF3F6F,1,1,3,1,509,3247,0x00,0x01
90,25000,124,0x4FEF3F7F,1,1,3,1,509,3263,0x00,0x40
90,25000,126,0x4BFC56CF,1,1,3,1,383,335,0x00,0x02
90,25000,126,0x4BFC56D7,1,1,3,1,383,343,0x00,0x01
90,25000,126,0x4BFC56DB,1,1,3,1,383,347,0xAA,0x8A
90,25000,126,0x4BFF56C3,1,1,3,1,383,3395,0xAA,0xA8
90,25000,126,0x4BFF56D7,1,1,3,1,383,3415,0x00,0x20
90,25000,126,0x4BFF56EF,1,1,3,1,383,3439,0x00,0x02
90,25000,126,0x4BFF56FB,1,1,3,1,383,3451,0xAA,0x8A
90,25000,7,0x48401F5A,1,0,7,3,264,26,0xAA,0xBA
90,25000,7,0x48401F6A,1,0,7,3,264,42,0xAA,0x2A
90,25000,16,0x4C8928D8,1,0,7,3,401,1240,0xD3,0x53
90,25000,16,0x4C8928EC,1,0,7,3,401,1260,0x0A,0x0B
90,25000,16,0x4C8928F4,1,0,7,3,401,1268,0x0A,0x4A
90,25000,26,0x48DB0303,1,0,7,3,283,3075,0xAA,0x8A
90,25000,26,0x48DB030B,1,0,7,3,283,3083,0xAA,0x2A
