reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,8,0x444DF05A,0,1,7,1,137,1946,0xAA,0xAE
90,25000,8,0x444DF072,0,1,7,1,137,1970,0xAA,0x8A
90,25000,86,0x4ABCE014,0,1,7,1,343,916,0x0A,0x8A
90,25000,86,0x4ABCE024,0,1,7,1,343,932,0x0A,0x2A
90,25000,107,0x4767D9C2,0,1,7,1,236,3906,0xAA,0x2A
90,25000,107,0x4767D9E2,0,1,7,1,236,3938,0xAA,0xEB
90,25000,24,0x44CCF427,0,1,3,0,153,935,0x00,0x01
90,25000,24,0x44CCF43B,0,1,3,0,153,955,0xAA,0xA2
90,25000,42,0x455F68CB,0,1,3,0,171,3531,0xAA,0xA8
90,25000,42,0x455F68D3,0,1,3,0,171,3539,0xAA,0xAB
90,25000,42,0x455F68DB,0,1,3,0,171,3547,0xAA,0x8A
90,25000,66,0x4A1CA59E,0,1,3,0,323,734,0x68,0x28
90,25000,66,0x4A1CA5A2,0,1,3,0,323,738,0xAA,0xA8
90,25000,83,0x42A4FA48,0,1,3,0,84,904,0xD3,0xC3
90,25000,83,0x42A4FA4C,0,1,3,0,84,908,0x0A,0x1A
90,25000,114,0x4F9F3050,0,1,3,0,499,3216,0xD3,0xF3
90,25000,114,0x4F9F3060,0,1,3,0,499,3232,0xD3,0xD1
90,25000,114,0x4F9F3070,0,1,3,0,499,3248,0xD3,0xD2
90,25000,39,0x45428CE0,0,0,3,2,168,2656,0xD3,0xF3
90,25000,39,0x45428CF8,0,0,3,2,168,2680,0xD3,0xD7
90,25000,97,0x4F138C4C,0,0,3,2,482,3596,0x0A,0x8A
90,25000,97,0x4F138C58,0,0,3,2,482,3608,0xD3,0x53
90,25000,15,0x4883B580,0,0,3,1,272,3776,0xD3,0xD2
90,25000,15,0x4883B5B4,0,0,3,1,272,3828,0x0A,0x28
90,25000,29,0x40F25C04,0,0,3,1,30,2308,0x0A,0x2A
90,25000,29,0x40F25C28,0,0,3,1,30,2344,0xD3,0xD2
90,25000,29,0x40F25C2C,0,0,3,1,30,2348,0x0A,0x08
90,25000,3,0x4C21C58B,1,0,3,1,388,1867,0xAA,0x2A
90,25000,3,0x4C21C593,1,0,3,1,388,1875,0xAA,0x2A
90,25000,3,0x4C23C59B,1,0,3,1,388,3931,0xAA,0xA8
90,25000,3,0x4C23C5A7,1,0,3,1,388,3943,0x00,0x10
90,25000,88,0x4ACA1B91,1,0,3,1,345,2129,0xAF,0x8F
90,25000,88,0x4ACA1BA5,1,0,3,1,345,2149,0x00,0x02
90,25000,88,0x4ACA1BB5,1,0,3,1,345,2165,0x00,0x01
90,25000,106,0x475A6444,1,0,3,1,235,2436,0x0A,0x2A
90,25000,106,0x475A6450,1,0,3,1,235,2448,0xD3,0xD7
90,25000,114,0x4399B7AD,1,0,3,1,115,1773,0x00,0x08
90,25000,114,0x4399B7B1,1,0,3,1,115,1777,0xAF,0xAE
90,25000,117,0x47B35359,1,0,3,1,246,3353,0xAF,0xAB
90,25000,117,0x47B35365,1,0,3,1,246,3365,0x00,0x40
90,25000,117,0x47B3537D,1,0,3,1,246,3389,0x00,0x08
90,25000,30,0x40FE888B,1,1,7,1,31,2635,0xAA,0xAE
90,25000,30,0x40FE888F,1,1,7,1,31,2639,0x00,0x20
90,25000,50,0x4D9C6C4D,1,1,7,1,435,397,0x00,0x08
90,25000,50,0x4D9C6C51,1,1,7,1,435,401,0xAF,0xBF
90,25000,50,0x4D9C6C5D,1,1,7,1,435,413,0x00,0x20
90,25000,66,0x4E1CB086,1,1,7,1,451,710,0x68,0xE8
90,25000,66,0x4E1CB0BE,1,1,7,1,451,766,0x68,0x48
90,25000,91,0x46E44D96,1,1,7,1,220,342,0x68,0x60
90,25000,100,0x4B2FDC0F,1,1,7,1,357,3855,0x00,0x80
90,25000,100,0x4B2FDC1B,1,1,7,1,357,3867,0xAA,0x8A
90,25000,113,0x4F9400DA,1,1,7,1,498,90,0xAA,0x8A
90,25000,113,0x4F9400EE,1,1,7,1,498,110,0x68,0x69
90,25000,113,0x4F9400F6,1,1,7,1,498,118,0x68,0x6A
90,25000,118,0x47BFA71A,1,1,7,1,247,3738,0xAA,0xAE
90,25000,118,0x47BFA722,1,1,7,1,247,3746,0xAA,0xEA
90,25000,118,0x47BFA73A,1,1,7,1,247,3770,0xAA,0xA2
90,25000,7,0x44420C59,1,0,3,3,136,2073,0xAF,0x8F
90,25000,7,0x44420C71,1,0,3,3,136,2097,0xAF,0xAB
90,25000,7,0x48410F65,1,0,3,3,264,1061,0x00,0x02
90,25000,7,0x48410F79,1,0,3,3,264,1081,0xAF,0xEF
90,25000,12,0x48684AD0,1,0,3,3,269,336,0xD3,0xD1
90,25000,12,0x48684AF4,1,0,3,3,269,372,0x0A,0x08
90,25000,19,0x4CA0FDD1,1,0,3,3,404,977,0xAF,0x8F
90,25000,19,0x4CA0FDE5,1,0,3,3,404,997,0x00,0x08
90,25000,19,0x4CA0FDF5,1,0,3,3,404,1013,0x00,0x10
90,25000,24,0x48C81B43,1,0,3,3,281,3,0xAA,0xA2
90,25000,24,0x48C81B77,1,0,3,3,281,55,0x00,0x30
90,25000,24,0x48CA9BEB,1,0,3,3,281,2667,0xAA,0x2A
90,25000,24,0x48CA9BFB,1,0,3,3,281,2683,0xAA,0x2A
90,25000,37,0x4532E3D0,1,0,3,3,166,3024,0xD3,0xF3
90,25000,37,0x4532E3F0,1,0,3,3,166,3056,0xD3,0xF3
90,25000,39,0x4941EB02,1,0,3,3,296,1922,0xAA,0xA2
90,25000,39,0x4941EB26,1,0,3,3,296,1958,0x68,0x2C
90,25000,41,0x49532359,1,0,3,3,298,3225,0xAF,0x2F
90,25000,41,0x4953235D,1,0,3,3,298,3229,0x00,0x20
90,25000,49,0x4193F30B,1,0,3,3,50,3979,0xAA,0xAE
90,25000,49,0x4193F313,1,0,3,3,50,3987,0xAA,0x2A
90,25000,53,0x49B250B5,1,0,3,3,310,2421,0x00,0x02
90,25000,53,0x49B250BD,1,0,3,3,310,2429,0x00,0x08
90,25000,53,0x49B2F009,1,0,3,3,310,2953,0xAF,0xAE
90,25000,53,0x49B2F019,1,0,3,3,310,2969,0xAF,0xA7
90,25000,61,0x41F1501A,1,0,3,3,62,1306,0xAA,0xBA
90,25000,61,0x41F1503E,1,0,3,3,62,1342,0x68,0x78
90,25000,61,0x4DF1B385,1,0,3,3,446,1733,0x00,0x20
90,25000,61,0x4DF1B3A9,1,0,3,3,446,1769,0xAF,0xA7
90,25000,61,0x4DF1B3AD,1,0,3,3,446,1773,0x00,0x10
90,25000,66,0x4E1888B4,1,0,3,3,451,628,0x0A,0x4A
90,25000,66,0x4E1AA890,1,0,3,3,451,2768,0xD3,0xF3
90,25000,66,0x4E1AA8A0,1,0,3,3,451,2784,0xD3,0xD2
90,25000,66,0x4E1AA8B0,1,0,3,3,451,2800,0xD3,0xD1
90,25000,68,0x462B23F4,1,0,3,3,197,3316,0x0A,0x1A
90,25000,68,0x462B23FC,1,0,3,3,197,3324,0x0A,0x08
90,25000,76,0x426B8043,1,0,3,3,77,3587,0xAA,0x2A
90,25000,76,0x426B805F,1,0,3,3,77,3615,0x00,0x41
90,25000,76,0x4E690340,1,0,3,3,461,1024,0xD3,0xF0
90,25000,76,0x4E6B43C4,1,0,3,3,461,3396,0x0A,0x1A
90,25000,76,0x4E6B43DC,1,0,3,3,461,3420,0x0A,0x0B
90,25000,78,0x4E79AB07,1,0,3,3,463,1671,0x00,0x10
90,25000,78,0x4E79AB1B,1,0,3,3,463,1691,0xAA,0xA2
90,25000,78,0x4E79AB1F,1,0,3,3,463,1695,0x00,0x20
90,25000,84,0x46A9B387,1,0,3,3,213,1735,0x00,0x04
90,25000,84,0x46A9B3BF,1,0,3,3,213,1791,0x00,0x80
90,25000,91,0x46E1B52D,1,0,3,3,220,1709,0x00,0x08
90,25000,91,0x46E1B535,1,0,3,3,220,1717,0x00,0x02
90,25000,99,0x4F2281B1,1,0,3,3,484,2673,0xAF,0xCF
90,25000,123,0x47E1F153,1,0,3,3,252,1939,0xAA,0xAB
90,25000,123,0x47E1F16B,1,0,3,3,252,1963,0xAA,0x2A
90,25000,123,0x47E1F17B,1,0,3,3,252,1979,0xAA,0xEA
90,25000,9,0x44515889,1,0,7,0,138,1353,0xAF,0x2F
90,25000,9,0x445158A5,1,0,7,0,138,1381,0x00,0x10
90,25000,14,0x4C781FDA,1,0,7,0,399,90,0xAA,0xA2
90,25000,14,0x4C781FE6,1,0,7,0,399,102,0x68,0x6C
90,25000,14,0x4C781FFE,1,0,7,0,399,126,0x68,0x28
90,25000,19,0x48A08007,1,0,7,0,276,519,0x00,0x40
90,25000,19,0x48A0801B,1,0,7,0,276,539,0xAA,0xA2
90,25000,19,0x48A0801F,1,0,7,0,276,543,0x00,0x04
90,25000,33,0x4D11DCCF,1,0,7,0,418,1871,0x00,0x02
90,25000,33,0x4D11DCEB,1,0,7,0,418,1899,0xAA,0xEA
90,25000,40,0x49499343,1,0,7,0,297,1539,0xAA,0x8A
90,25000,40,0x49499357,1,0,7,0,297,1559,0x00,0x20
90,25000,49,0x4D932C05,1,0,7,0,434,3205,0x00,0x01
90,25000,49,0x4D932C11,1,0,7,0,434,3217,0xAF,0x2F
90,25000,49,0x4D932C15,1,0,7,0,434,3221,0x00,0x40
90,25000,67,0x42205A4F,1,0,7,0,68,271,0x00,0x10
90,25000,67,0x42205A67,1,0,7,0,68,295,0x00,0x02
90,25000,111,0x4F838C07,1,0,7,0,496,3591,0x00,0x10
90,25000,111,0x4F838C0F,1,0,7,0,496,3599,0x00,0x04
90,25000,112,0x438BABDF,1,0,7,0,113,3807,0x00,0x80
90,25000,112,0x438BABF3,1,0,7,0,113,3827,0xAA,0x8A
90,25000,117,0x4BB3E450,1,0,7,0,374,3984,0xD3,0xD2
90,25000,117,0x4BB3E460,1,0,7,0,374,4000,0xD3,0xD1
90,25000,117,0x4BB3E470,1,0,7,0,374,4016,0xD3,0xF3
90,25000,118,0x47BB631D,1,0,7,0,247,3485,0x00,0x10
90,25000,118,0x47BB632D,1,0,7,0,247,3501,0x00,0x04
90,25000,120,0x4BCAEB41,1,0,7,0,377,2945,0xAF,0xBF
90,25000,120,0x4BCAEB6D,1,0,7,0,377,2989,0x00,0x28
90,25000,121,0x47D1644B,1,0,7,0,250,1419,0xAA,0xA2
90,25000,121,0x47D16467,1,0,7,0,250,1447,0x00,0x10
90,25000,121,0x47D1646F,1,0,7,0,250,1455,0x00,0x20
90,25000,122,0x4BD9C32F,1,0,7,0,379,1839,0x00,0x10
90,25000,122,0x4BD9C337,1,0,7,0,379,1847,0x00,0x10
90,25000,83,0x4EA5A16C,0,1,7,2,468,1708,0x0A,0x02
90,25000,83,0x4EA5A174,0,1,7,2,468,1716,0x0A,0x02
90,25000,96,0x430C13D7,0,1,7,2,97,87,0x00,0x08
90,25000,96,0x430C13E7,0,1,7,2,97,103,0x00,0x40
90,25000,96,0x430C13F3,0,1,7,2,97,115,0xAA,0xAE
90,25000,96,0x430FF3C7,0,1,7,2,97,4039,0x00,0x40
90,25000,96,0x430FF3EB,0,1,7,2,97,4075,0xAA,0xAB
90,25000,96,0x430FF3EF,0,1,7,2,97,4079,0x00,0x80
90,25000,99,0x4325D660,0,1,7,2,100,1824,0xD3,0x53
90,25000,99,0x4325D678,0,1,7,2,100,1848,0xD3,0xC3
90,25000,104,0x474ED044,0,1,7,2,233,2820,0x0A,0x02
90,25000,104,0x474ED068,0,1,7,2,233,2856,0xD3,0xC3
90,25000,104,0x474ED06C,0,1,7,2,233,2860,0x0A,0x2A
90,25000,1,0x4C113C2C,1,0,7,1,386,1196,0x0A,0x1A
90,25000,1,0x4C113C30,1,0,7,1,386,1200,0xD3,0xD1
90,25000,74,0x4A5A739F,1,0,7,1,331,2527,0x00,0x08
90,25000,74,0x4A5A73AF,1,0,7,1,331,2543,0x00,0x10
90,25000,74,0x4A5A73B3,1,0,7,1,331,2547,0xAA,0x8A
90,25000,96,0x4F0A1C2C,1,0,7,1,481,2092,0x0A,0x8A
90,25000,96,0x4F0A1C30,1,0,7,1,481,2096,0xD3,0xDB
90,25000,100,0x47285F18,1,0,7,1,229,280,0xD3,0xD1
90,25000,100,0x47285F28,1,0,7,1,229,296,0xD3,0xF3
90,25000,100,0x47285F30,1,0,7,1,229,304,0xD3,0xD2
90,25000,108,0x4F6A7F16,1,0,7,1,493,2454,0x68,0x6C
90,25000,108,0x4F6A7F2A,1,0,7,1,493,2474,0xAA,0xA2
90,25000,108,0x4F6A7F3E,1,0,7,1,493,2494,0x68,0x28
90,25000,114,0x439B879F,1,0,7,1,115,3679,0x00,0x04
