reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,1,0x48094006,0,0,4,2,514,1286,0x68,0x6A
90,25000,1,0x4809401A,0,0,4,2,514,1306,0xAA,0x8A
90,25000,1,0x4C08C2D5,0,0,4,2,770,853,0x00,0x40
90,25000,1,0x4C08C2F1,0,0,4,2,770,881,0xAF,0xBF
90,25000,1,0x400911C7,0,0,5,2,2,1095,0x00,0x40
90,25000,1,0x400911CB,0,0,5,2,2,1099,0xAA,0x2A
90,25000,1,0x400911D7,0,0,5,2,2,1111,0x00,0x08
90,25000,1,0x4009325F,0,0,6,2,2,1183,0x00,0x02
90,25000,1,0x40093267,0,0,6,2,2,1191,0x00,0x01
90,25000,1,0x4009326B,0,0,6,2,2,1195,0xAA,0x2A
90,25000,1,0x400992C3,0,0,6,2,2,1603,0xAA,0xAE
90,25000,1,0x400992C7,0,0,6,2,2,1607,0x00,0x01
90,25000,1,0x4C0960E6,0,0,6,2,770,1510,0x68,0x6C
90,25000,1,0x4C0960FA,0,0,6,2,770,1530,0xAA,0x8A
90,25000,1,0x4C0801CE,0,0,7,2,770,78,0x68,0x60
90,25000,1,0x4C0801D2,0,0,7,2,770,82,0xAA,0xAE
90,25000,1,0x4C0801DE,0,0,7,2,770,94,0x68,0x78
90,25000,1,0x4C08E142,0,0,7,2,770,898,0xAA,0xBA
90,25000,1,0x4C08E162,0,0,7,2,770,930,0xAA,0x8A
90,25000,1,0x4C08E172,0,0,7,2,770,946,0xAA,0xAB
90,25000,1,0x4C09414D,0,0,7,2,770,1293,0x00,0x08
90,25000,1,0x4C094179,0,0,7,2,770,1337,0xAF,0xAB
90,25000,1,0x4C09417D,0,0,7,2,770,1341,0x00,0x10
90,25000,1,0x4C0A01CD,0,0,7,2,770,2125,0x00,0x01
90,25000,1,0x4C0A01E1,0,0,7,2,770,2145,0xAF,0xAB
90,25000,1,0x4C0A2152,0,0,7,2,770,2194,0xAA,0xEA
90,25000,1,0x4C0A216E,0,0,7,2,770,2222,0x68,0x69
90,25000,1,0x4C0A41D9,0,0,7,2,770,2393,0xAF,0x2F
90,25000,1,0x4C0A41ED,0,0,7,2,770,2413,0x00,0x10
90,25000,1,0x4C0BA152,0,0,7,2,770,3730,0xAA,0xBA
90,25000,1,0x4C0BA172,0,0,7,2,770,3762,0xAA,0xBA
90,25000,1,0x4C0BC14E,0,0,7,2,770,3854,0x68,0x78
90,25000,1,0x4C0BC16A,0,0,7,2,770,3882,0xAA,0x8A
90,25000,1,0x4C0BC16E,0,0,7,2,770,3886,0x68,0x69
90,25000,2,0x4C0DA607,0,0,4,2,771,1671,0x00,0x01
90,25000,2,0x4C0DA60B,0,0,4,2,771,1675,0xAA,0xAE
90,25000,2,0x4C0DA627,0,0,4,2,771,1703,0x00,0x20
90,25000,2,0x4C0DA633,0,0,4,2,771,1715,0xAA,0xA2
90,25000,2,0x4C0F2697,0,0,4,2,771,3287,0x00,0x10
90,25000,2,0x4C0F269F,0,0,4,2,771,3295,0x00,0x10
90,25000,2,0x4C0FC603,0,0,4,2,771,3843,0xAA,0xEA
90,25000,2,0x4C0FC61B,0,0,4,2,771,3867,0xAA,0xAE
90,25000,2,0x480EC5C7,0,0,5,2,515,2887,0x00,0x80
90,25000,2,0x480EC5E3,0,0,5,2,515,2915,0xAA,0x2A
90,25000,2,0x480FE5CF,0,0,5,2,515,4047,0x00,0x20
90,25000,2,0x480FE5D3,0,0,5,2,515,4051,0xAA,0xA8
90,25000,2,0x480FE5DB,0,0,5,2,515,4059,0xAA,0x0A
90,25000,2,0x480FE5E3,0,0,5,2,515,4067,0xAA,0x8A
90,25000,2,0x480FE5EF,0,0,5,2,515,4079,0x00,0x10
90,25000,2,0x4C0D070F,0,0,5,2,771,1039,0x00,0x08
90,25000,2,0x4C0D0737,0,0,5,2,771,1079,0x00,0x01
90,25000,2,0x4C0D271B,0,0,5,2,771,1179,0xAA,0xAB
90,25000,2,0x4C0D272F,0,0,5,2,771,1199,0x00,0x80
90,25000,2,0x4C0D273F,0,0,5,2,771,1215,0x00,0x02
90,25000,2,0x480E2653,0,0,6,2,515,2195,0xAA,0x8A
90,25000,2,0x480E267F,0,0,6,2,515,2239,0x00,0x20
90,25000,2,0x480F86C7,0,0,6,2,515,3655,0x00,0x40
90,25000,2,0x480F86D7,0,0,6,2,515,3671,0x00,0x01
90,25000,2,0x4C0CC41F,0,0,6,2,771,799,0x00,0x02
90,25000,2,0x4C0CC43F,0,0,6,2,771,831,0x00,0x02
90,25000,2,0x480D075B,0,0,7,2,515,1051,0xAA,0xA8
90,25000,2,0x480D0767,0,0,7,2,515,1063,0x00,0x02
90,25000,2,0x480D8747,0,0,7,2,515,1543,0x00,0x40
90,25000,2,0x480D8753,0,0,7,2,515,1555,0xAA,0xA8
90,25000,2,0x480EE7E3,0,0,7,2,515,3043,0xAA,0xAE
90,25000,2,0x480EE7F3,0,0,7,2,515,3059,0xAA,0xAE
90,25000,2,0x480F67DF,0,0,7,2,515,3551,0x00,0x08
90,25000,2,0x480F67EB,0,0,7,2,515,3563,0xAA,0xA8
90,25000,2,0x480FC7DF,0,0,7,2,515,3935,0x00,0x40
90,25000,2,0x480FC7E3,0,0,7,2,515,3939,0xAA,0x8A
90,25000,2,0x480FC7EB,0,0,7,2,515,3947,0xAA,0xAB
90,25000,2,0x4C0D4517,0,0,7,2,771,1303,0x00,0x02
90,25000,2,0x4C0D4523,0,0,7,2,771,1315,0xAA,0x2A
90,25000,2,0x4C0D4537,0,0,7,2,771,1335,0x00,0x01
90,25000,2,0x4C0D8587,0,0,7,2,771,1607,0x00,0x40
90,25000,2,0x4C0D85AB,0,0,7,2,771,1643,0xAA,0xA8
90,25000,2,0x4C0DC514,0,0,7,2,771,1812,0x0A,0x8A
90,25000,2,0x4C0DC530,0,0,7,2,771,1840,0xD3,0x53
90,25000,2,0x4C0E2503,0,0,7,2,771,2179,0xAA,0x8A
90,25000,2,0x4C0E253B,0,0,7,2,771,2235,0xAA,0x2A
90,25000,2,0x4C0FC58B,0,0,7,2,771,3915,0xAA,0xAE
90,25000,2,0x4C0FC5A3,0,0,7,2,771,3939,0xAA,0xBA
90,25000,2,0x4C0FC5BB,0,0,7,2,771,3963,0xAA,0xA2
90,25000,3,0x4812499D,0,0,4,2,516,2397,0x00,0x20
90,25000,3,0x481249A9,0,0,4,2,516,2409,0xAF,0xAB
90,25000,4,0x4C162D07,0,0,6,2,773,2183,0x00,0x11
90,25000,4,0x4C162D13,0,0,6,2,773,2195,0xAA,0x8A
90,25000,4,0x4C166D03,0,0,6,2,773,2435,0xAA,0xA8
90,25000,4,0x4C166D23,0,0,6,2,773,2467,0xAA,0xA8
90,25000,4,0x4C172C07,0,0,7,2,773,3207,0x00,0x81
90,25000,4,0x4C172C13,0,0,7,2,773,3219,0xAA,0x8A
90,25000,5,0x40181082,0,0,5,2,6,66,0xAA,0xBA
90,25000,5,0x401810A6,0,0,5,2,6,102,0x68,0x69
90,25000,5,0x401810B6,0,0,5,2,6,118,0x68,0x48
