reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,2,0x4C1C6007,0,1,3,3,387,391,0x00,0x02
90,25000,2,0x4C1C6013,0,1,3,3,387,403,0xAA,0x8A
90,25000,2,0x4C1C6017,0,1,3,3,387,407,0x00,0x01
90,25000,2,0x4C1D6007,0,1,3,3,387,1415,0x00,0x08
90,25000,2,0x4C1D602F,0,1,3,3,387,1455,0x00,0x01
90,25000,4,0x482EE8CD,0,1,3,3,261,3021,0x00,0x80
90,25000,4,0x482EE8F1,0,1,3,3,261,3057,0xAF,0x2F
90,25000,7,0x48476F15,0,1,3,3,264,3477,0x00,0x08
90,25000,7,0x48476F31,0,1,3,3,264,3505,0xAF,0x2F
90,25000,14,0x407C4001,0,1,3,3,15,257,0xAF,0xBF
90,25000,14,0x407C4009,0,1,3,3,15,265,0xAF,0x2F
90,25000,33,0x4D152089,0,1,3,3,418,1225,0xAF,0xAB
90,25000,33,0x4D1520A5,0,1,3,3,418,1253,0x00,0x04
90,25000,35,0x4124EA11,0,1,3,3,36,913,0xAF,0xBF
90,25000,35,0x4124EA15,0,1,3,3,36,917,0x00,0x80
90,25000,35,0x4124EA31,0,1,3,3,36,945,0xAF,0x2F
90,25000,35,0x4124EA35,0,1,3,3,36,949,0x00,0x10
90,25000,35,0x41266A81,0,1,3,3,36,2497,0xAF,0x8F
90,25000,35,0x41266AA1,0,1,3,3,36,2529,0xAF,0xAB
90,25000,41,0x49564389,0,1,3,3,298,2377,0xAF,0xBF
90,25000,41,0x495643BD,0,1,3,3,298,2429,0x00,0x02
90,25000,43,0x49640A0E,0,1,3,3,300,14,0x68,0x78
90,25000,43,0x49640A36,0,1,3,3,300,54,0x68,0x48
90,25000,43,0x49640A3A,0,1,3,3,300,58,0xAA,0xA2
90,25000,46,0x4D7FC765,0,1,3,3,431,3877,0x00,0x80
90,25000,46,0x4D7FC76D,0,1,3,3,431,3885,0x00,0x04
90,25000,48,0x4D8CDC57,0,1,3,3,433,791,0x00,0x08
90,25000,48,0x4D8CDC67,0,1,3,3,433,807,0x00,0x02
90,25000,48,0x4D8EDCD3,0,1,3,3,433,2899,0xAA,0xEA
90,25000,48,0x4D8EDCE3,0,1,3,3,433,2915,0xAA,0x2A
90,25000,48,0x4D8EDCF3,0,1,3,3,433,2931,0xAA,0xAB
90,25000,52,0x45AE9F76,0,1,3,3,181,2614,0x68,0x48
90,25000,52,0x45AE9F7A,0,1,3,3,181,2618,0xAA,0xAE
90,25000,52,0x45AEFF5F,0,1,3,3,181,2975,0x00,0x80
90,25000,52,0x45AEFF6B,0,1,3,3,181,2987,0xAA,0xA2
90,25000,52,0x49AFFCD2,0,1,3,3,309,4050,0xAA,0x8A
90,25000,52,0x49AFFCEE,0,1,3,3,309,4078,0x68,0x60
90,25000,52,0x49AFFCFE,0,1,3,3,309,4094,0x68,0x78
90,25000,57,0x45D5D0C5,0,1,3,3,186,1861,0x00,0x01
90,25000,57,0x45D5D0D9,0,1,3,3,186,1881,0xAF,0xAD
90,25000,57,0x45D5D0DD,0,1,3,3,186,1885,0x00,0x20
90,25000,58,0x49DDF716,0,1,3,3,315,1942,0x68,0x28
90,25000,58,0x49DDF73A,0,1,3,3,315,1978,0xAA,0xA8
90,25000,62,0x4DFE1783,0,1,3,3,447,2115,0xAA,0xAE
90,25000,62,0x4DFE17BF,0,1,3,3,447,2175,0x00,0x01
90,25000,70,0x463D8B41,0,1,3,3,199,1537,0xAF,0xAE
90,25000,70,0x463D8B61,0,1,3,3,199,1569,0xAF,0xA7
