reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,0,0x4C0A35D3,0,0,6,0,385,2259,0xAA,0x2A
90,25000,0,0x4C0A35E3,0,0,6,0,385,2275,0xAA,0xEA
90,25000,0,0x4C0A35EB,0,0,6,0,385,2283,0xAA,0xA2
90,25000,2,0x4C18FE86,0,0,5,0,387,966,0x68,0x60
90,25000,2,0x4C18FE9A,0,0,5,0,387,986,0xAA,0xAE
90,25000,2,0x4C18FE9E,0,0,5,0,387,990,0x68,0x78
90,25000,2,0x4C1A7E0E,0,0,5,0,387,2446,0x68,0x69
90,25000,2,0x4C1A7E22,0,0,5,0,387,2466,0xAA,0xEA
90,25000,3,0x48229287,0,0,5,0,260,2631,0x00,0x80
90,25000,3,0x482292BB,0,0,5,0,260,2683,0xAA,0x8A
90,25000,4,0x482BB74C,0,0,4,0,261,3724,0x0A,0x08
90,25000,4,0x482BB760,0,0,4,0,261,3744,0xD3,0xD1
90,25000,4,0x48297644,0,0,5,0,261,1412,0x0A,0x8A
90,25000,4,0x48297650,0,0,5,0,261,1424,0xD3,0xD7
90,25000,4,0x4829B65C,0,0,5,0,261,1692,0x0A,0x4A
90,25000,4,0x4829B664,0,0,5,0,261,1700,0x0A,0x8A
90,25000,4,0x4829B668,0,0,5,0,261,1704,0xD3,0xDB
90,25000,4,0x482955C4,0,0,6,0,261,1348,0x0A,0x02
90,25000,4,0x482955EC,0,0,6,0,261,1388,0x0A,0x08
90,25000,4,0x482A95D0,0,0,6,0,261,2640,0xD3,0xD7
90,25000,4,0x482A95D8,0,0,6,0,261,2648,0xD3,0xF3
90,25000,4,0x482B75CC,0,0,6,0,261,3532,0x0A,0x0E
90,25000,4,0x482B75E4,0,0,6,0,261,3556,0x0A,0x0B
90,25000,4,0x4428375A,0,0,7,0,133,154,0xAA,0xBA
90,25000,4,0x4428375E,0,0,7,0,133,158,0x68,0x6A
90,25000,4,0x48291440,0,0,7,0,261,1024,0xD3,0xDB
90,25000,4,0x4829145C,0,0,7,0,261,1052,0x0A,0x08
90,25000,4,0x482BB4C0,0,0,7,0,261,3776,0xD3,0xD2
90,25000,4,0x482BB4C8,0,0,7,0,261,3784,0xD3,0x53
90,25000,4,0x482BB4D0,0,0,7,0,261,3792,0xD3,0xD1
90,25000,6,0x483AFF9F,0,0,4,0,263,3039,0x00,0x01
90,25000,6,0x483AFFBF,0,0,4,0,263,3071,0x00,0x08
90,25000,6,0x483BDF8F,0,0,4,0,263,3919,0x00,0x01
90,25000,6,0x483BDFA7,0,0,4,0,263,3943,0x00,0x10
90,25000,6,0x483BDFB3,0,0,4,0,263,3955,0xAA,0x8A
90,25000,6,0x483B5EB3,0,0,5,0,263,3443,0xAA,0x8A
90,25000,6,0x483B5EBF,0,0,5,0,263,3455,0x00,0x80
90,25000,6,0x4839BD1B,0,0,6,0,263,1691,0xAA,0xA2
90,25000,6,0x4839BD2B,0,0,6,0,263,1707,0xAA,0xBA
90,25000,6,0x4839BD33,0,0,6,0,263,1715,0xAA,0xAE
90,25000,6,0x483B1D0F,0,0,6,0,263,3087,0x00,0x80
90,25000,6,0x483B1D2F,0,0,6,0,263,3119,0x00,0x20
90,25000,7,0x4441D225,0,0,5,0,136,1829,0x00,0x08
90,25000,7,0x4441D239,0,0,5,0,136,1849,0xAF,0xAD
90,25000,7,0x44437219,0,0,5,0,136,3481,0xAF,0xEF
90,25000,7,0x44437235,0,0,5,0,136,3509,0x00,0x20
90,25000,11,0x4C637005,0,0,4,0,396,3461,0x00,0x10
90,25000,11,0x4C637035,0,0,4,0,396,3509,0x00,0x10
90,25000,11,0x486333D1,0,0,6,0,268,3281,0xAF,0xAD
90,25000,11,0x486333E1,0,0,6,0,268,3297,0xAF,0x2F
90,25000,11,0x486333F9,0,0,6,0,268,3321,0xAF,0xAE
90,25000,11,0x4860925D,0,0,7,0,268,541,0x00,0x08
90,25000,11,0x4860926D,0,0,7,0,268,557,0x00,0x40
90,25000,11,0x48609271,0,0,7,0,268,561,0xAF,0x2F
90,25000,12,0x406A37DE,0,0,4,0,13,2270,0x68,0xE8
90,25000,12,0x406A37F6,0,0,4,0,13,2294,0x68,0x60
90,25000,12,0x406A37FA,0,0,4,0,13,2298,0xAA,0xEA
90,25000,12,0x4068B6C2,0,0,5,0,13,706,0xAA,0xEA
90,25000,12,0x4068B6EA,0,0,5,0,13,746,0xAA,0xA2
90,25000,12,0x4068B6F2,0,0,5,0,13,754,0xAA,0x2A
90,25000,12,0x406AF6CE,0,0,5,0,13,3022,0x68,0x78
90,25000,12,0x406AF6DA,0,0,5,0,13,3034,0xAA,0x2A
90,25000,12,0x406B16C2,0,0,5,0,13,3138,0xAA,0xAE
90,25000,12,0x406B16D2,0,0,5,0,13,3154,0xAA,0x8A
90,25000,12,0x406A54EA,0,0,7,0,13,2410,0xAA,0xAE
90,25000,12,0x406A54FE,0,0,7,0,13,2430,0x68,0x6A
90,25000,12,0x406AD44E,0,0,7,0,13,2830,0x68,0x78
90,25000,12,0x406AD452,0,0,7,0,13,2834,0xAA,0xA8
90,25000,16,0x4489264F,0,0,7,0,145,1167,0x00,0x10
90,25000,16,0x4489266F,0,0,7,0,145,1199,0x00,0x10
90,25000,18,0x4899AF92,0,0,5,0,275,1746,0xAA,0xA8
90,25000,18,0x4899AFAA,0,0,5,0,275,1770,0xAA,0xAE
90,25000,18,0x4C9A4D5E,0,0,6,0,403,2334,0x68,0x69
90,25000,18,0x4C9A4D6A,0,0,6,0,403,2346,0xAA,0xBA
90,25000,18,0x4C9A4D7E,0,0,6,0,403,2366,0x68,0x48
90,25000,24,0x4CCAE5C0,0,0,4,0,409,3008,0xD3,0xC3
90,25000,24,0x4CCAE5EC,0,0,4,0,409,3052,0x0A,0x02
90,25000,24,0x4CCAE5FC,0,0,4,0,409,3068,0x0A,0x0E
90,25000,24,0x4CCB06D0,0,0,7,0,409,3152,0xD3,0xD1
90,25000,24,0x4CCB06D8,0,0,7,0,409,3160,0xD3,0xD1
90,25000,25,0x4CD2C9D7,0,0,4,0,410,2903,0x00,0x10
90,25000,25,0x4CD2C9EB,0,0,4,0,410,2923,0xAA,0xEA
90,25000,27,0x40E3E272,0,0,5,0,28,4018,0xAA,0x8A
90,25000,27,0x40E3E27A,0,0,5,0,28,4026,0xAA,0xA2
90,25000,28,0x4CEA0701,0,0,7,0,413,2049,0xAF,0xA7
90,25000,28,0x4CEA072D,0,0,7,0,413,2093,0x00,0x20
