reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,0,0x48072DCE,1,0,5,2,513,3278,0x68,0x28
90,25000,0,0x48072DEA,1,0,5,2,513,3306,0xAA,0xA2
90,25000,0,0x48072DF6,1,0,5,2,513,3318,0x68,0xE8
90,25000,7,0x482068CD,1,0,6,2,520,461,0x00,0x80
90,25000,7,0x482068DD,1,0,6,2,520,477,0x00,0x04
90,25000,8,0x44247F1F,1,0,7,2,265,415,0x00,0x04
90,25000,8,0x44247F3B,1,0,7,2,265,443,0xAA,0xBA
90,25000,8,0x44247F3F,1,0,7,2,265,447,0x00,0x08
90,25000,10,0x4C2D4426,1,0,4,2,779,1318,0x68,0x69
90,25000,10,0x4C2D443A,1,0,4,2,779,1338,0xAA,0xA2
90,25000,10,0x4C2EC48E,1,0,4,2,779,2894,0x68,0x6C
90,25000,10,0x4C2EC4A6,1,0,4,2,779,2918,0x68,0x6A
90,25000,10,0x4C2EC4B2,1,0,4,2,779,2930,0xAA,0xA2
90,25000,10,0x4C2D869A,1,0,6,2,779,1626,0xAA,0xA8
90,25000,10,0x4C2D86AA,1,0,6,2,779,1642,0xAA,0x2B
90,25000,12,0x40375E19,1,0,5,2,13,3353,0xAF,0x8F
90,25000,12,0x40375E2D,1,0,5,2,13,3373,0x00,0x20
90,25000,12,0x40365CB5,1,0,7,2,13,2421,0x00,0x04
90,25000,12,0x40365CB9,1,0,7,2,13,2425,0xAF,0x2F
90,25000,15,0x4041CB1C,1,0,7,2,16,1820,0x0A,0x02
90,25000,15,0x4041CB28,1,0,7,2,16,1832,0xD3,0xC3
90,25000,15,0x4041CB2C,1,0,7,2,16,1836,0x0A,0x0E
90,25000,16,0x4C441E4F,1,0,4,2,785,15,0x00,0x01
90,25000,16,0x4C441E7B,1,0,4,2,785,59,0xAA,0x8A
90,25000,16,0x4C441E7F,1,0,4,2,785,63,0x00,0x10
90,25000,20,0x4456ECE2,1,0,7,2,277,3042,0xAA,0x2A
90,25000,20,0x4456ECFA,1,0,7,2,277,3066,0xAA,0x2A
90,25000,22,0x4C5C964A,1,0,5,2,791,522,0xAA,0xEA
90,25000,22,0x4C5C9666,1,0,5,2,791,550,0x68,0x28
90,25000,22,0x4C5F76C6,1,0,5,2,791,3526,0x68,0x60
90,25000,22,0x4C5F76FA,1,0,5,2,791,3578,0xAA,0xAB
90,25000,24,0x4465CF63,1,0,7,2,281,1827,0xAA,0x2A
90,25000,24,0x4465CF73,1,0,7,2,281,1843,0xAA,0x2A
90,25000,24,0x4467AF59,1,0,7,2,281,3737,0xAF,0xAE
90,25000,24,0x4467AF5D,1,0,7,2,281,3741,0x00,0x82
90,25000,30,0x4C7D160B,1,0,7,2,799,1035,0xAA,0x2A
90,25000,30,0x4C7D163B,1,0,7,2,799,1083,0xAA,0xAE
90,25000,31,0x40835C81,1,0,4,2,32,3393,0xAF,0xAE
90,25000,31,0x40835C8D,1,0,4,2,32,3405,0x00,0x10
90,25000,31,0x40835C9D,1,0,4,2,32,3421,0x00,0x20
90,25000,31,0x4083BE03,1,0,6,2,32,3715,0xAA,0xA8
90,25000,31,0x4083BE33,1,0,6,2,32,3763,0xAA,0x8A
90,25000,34,0x4C8D02A3,1,0,4,2,803,1123,0xAA,0xA2
90,25000,34,0x4C8D02B3,1,0,4,2,803,1139,0xAA,0xA8
90,25000,34,0x488C634D,1,0,7,2,547,397,0x00,0x08
90,25000,34,0x488C6365,1,0,7,2,547,421,0x00,0x08
90,25000,34,0x488FC3ED,1,0,7,2,547,3949,0x00,0x40
90,25000,34,0x488FC3FD,1,0,7,2,547,3965,0x00,0x04
90,25000,34,0x4C8C0103,1,0,7,2,803,3,0xAA,0x8A
90,25000,34,0x4C8C012B,1,0,7,2,803,43,0xAA,0xA8
90,25000,34,0x4C8EE187,1,0,7,2,803,3015,0x00,0x10
90,25000,34,0x4C8EE1BF,1,0,7,2,803,3071,0x00,0x40
90,25000,38,0x489E011D,1,0,4,2,551,2077,0x00,0x10
90,25000,38,0x489E0129,1,0,4,2,551,2089,0xAF,0xAB
90,25000,38,0x489E012D,1,0,4,2,551,2093,0x00,0x08
90,25000,38,0x4C9D03CD,1,0,4,2,807,1101,0x00,0x01
90,25000,38,0x4C9D03D9,1,0,4,2,807,1113,0xAF,0xAE
90,25000,38,0x4C9D20D9,1,0,7,2,807,1241,0xAF,0x8F
90,25000,38,0x4C9D20ED,1,0,7,2,807,1261,0x00,0x10
90,25000,38,0x4C9D20F5,1,0,7,2,807,1269,0x00,0x01
90,25000,40,0x40A4FA0F,1,0,4,2,41,911,0x00,0x04
90,25000,40,0x40A4FA2B,1,0,4,2,41,939,0xAA,0x8A
90,25000,40,0x40A77A13,1,0,4,2,41,3475,0xAA,0xA2
90,25000,40,0x40A77A3F,1,0,4,2,41,3519,0x00,0x14
90,25000,40,0x40A79A83,1,0,4,2,41,3651,0xAA,0x2E
90,25000,41,0x4CABE4A2,1,0,4,2,810,4066,0xAA,0xAE
