reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,1,0x4C093042,0,0,2,2,770,1154,0xAA,0xBA
90,25000,1,0x4C09306E,0,0,2,2,770,1198,0x68,0x60
90,25000,1,0x4C09307E,0,0,2,2,770,1214,0x68,0x6C
90,25000,4,0x48145D68,0,0,0,2,517,296,0xD3,0xDB
90,25000,4,0x48145D70,0,0,0,2,517,304,0xD3,0xD1
90,25000,4,0x4C149FA1,0,0,0,2,773,609,0xAF,0xAB
90,25000,4,0x4C149FB9,0,0,0,2,773,633,0xAF,0xEF
90,25000,4,0x48179CC8,0,0,1,2,517,3656,0xD3,0xD1
90,25000,4,0x48179CDC,0,0,1,2,517,3676,0x0A,0x08
90,25000,4,0x4C149E0D,0,0,1,2,773,525,0x00,0x02
90,25000,4,0x4C149E2D,0,0,1,2,773,557,0x00,0x01
90,25000,4,0x4C149E31,0,0,1,2,773,561,0xAF,0x2F
90,25000,4,0x4C159EA1,0,0,1,2,773,1633,0xAF,0xA7
90,25000,4,0x4C159EAD,0,0,1,2,773,1645,0x00,0x20
90,25000,4,0x4C15DD85,0,0,2,2,773,1861,0x00,0x80
90,25000,4,0x4C15DD8D,0,0,2,2,773,1869,0x00,0x20
90,25000,5,0x441A4340,0,0,0,2,262,2304,0xD3,0xD1
90,25000,5,0x441A4348,0,0,0,2,262,2312,0xD3,0xC3
90,25000,5,0x441A8350,0,0,0,2,262,2576,0xD3,0x53
90,25000,5,0x441A8370,0,0,0,2,262,2608,0xD3,0xC3
90,25000,5,0x48181242,0,0,3,2,518,2,0xAA,0xAE
90,25000,5,0x4818124A,0,0,3,2,518,10,0xAA,0xB2
90,25000,7,0x40222AC8,0,0,0,2,8,2248,0xD3,0x93
90,25000,7,0x40222AFC,0,0,0,2,8,2300,0x0A,0x08
90,25000,7,0x4023E960,0,0,3,2,8,4000,0xD3,0xF3
90,25000,7,0x4023E96C,0,0,3,2,8,4012,0x0A,0x2A
90,25000,8,0x4026CF18,0,0,1,2,9,2840,0xD3,0xC3
90,25000,8,0x4026CF20,0,0,1,2,9,2848,0xD3,0xD1
90,25000,9,0x442BC0E7,0,0,0,2,266,3943,0x00,0x40
90,25000,9,0x442BC0FF,0,0,0,2,266,3967,0x00,0x10
90,25000,9,0x442BE1CB,0,0,1,2,266,4043,0xAA,0x2A
90,25000,9,0x442BE1E3,0,0,1,2,266,4067,0xAA,0xEA
90,25000,9,0x442BE1F3,0,0,1,2,266,4083,0xAA,0xA2
90,25000,9,0x4428625F,0,0,2,2,266,415,0x00,0x08
90,25000,9,0x44286263,0,0,2,2,266,419,0xAA,0xEA
90,25000,9,0x4428627F,0,0,2,2,266,447,0x00,0x80
90,25000,9,0x442B22DB,0,0,2,2,266,3291,0xAA,0xA2
90,25000,9,0x442B22E3,0,0,2,2,266,3299,0xAA,0xAE
90,25000,9,0x442B22FB,0,0,2,2,266,3323,0xAA,0xBA
90,25000,9,0x44292363,0,0,3,2,266,1187,0xAA,0x8A
90,25000,9,0x44292367,0,0,3,2,266,1191,0x00,0x40
90,25000,9,0x442983C7,0,0,3,2,266,1607,0x00,0x10
90,25000,9,0x442983EB,0,0,3,2,266,1643,0xAA,0x2A
90,25000,9,0x442AE343,0,0,3,2,266,2947,0xAA,0xEA
90,25000,9,0x442AE367,0,0,3,2,266,2983,0x00,0x10
90,25000,12,0x4434EE18,0,0,3,2,269,920,0xD3,0xD1
90,25000,12,0x4434EE34,0,0,3,2,269,948,0x0A,0x8B
90,25000,12,0x4435EE80,0,0,3,2,269,1984,0xD3,0xD7
90,25000,12,0x4435EE90,0,0,3,2,269,2000,0xD3,0xD7
90,25000,15,0x404358C3,0,0,0,2,16,3395,0xAA,0x8A
90,25000,15,0x404358E7,0,0,0,2,16,3431,0x00,0x01
90,25000,15,0x404358F7,0,0,0,2,16,3447,0x00,0x10
90,25000,15,0x404299CB,0,0,1,2,16,2635,0xAA,0x2A
90,25000,15,0x404299EB,0,0,1,2,16,2667,0xAA,0x2A
90,25000,15,0x4040FAC7,0,0,2,2,16,967,0x00,0x80
90,25000,15,0x4040FAE7,0,0,2,2,16,999,0x00,0x10
90,25000,15,0x40431A4B,0,0,2,2,16,3083,0xAA,0xBA
90,25000,15,0x40431A53,0,0,2,2,16,3091,0xAA,0xA2
90,25000,15,0x40431A5B,0,0,2,2,16,3099,0xAA,0xAE
90,25000,15,0x40417BCF,0,0,3,2,16,1487,0x00,0x10
90,25000,15,0x40417BE3,0,0,3,2,16,1507,0xAA,0xEA
90,25000,20,0x40573CC0,0,0,1,2,21,3264,0xD3,0xD7
90,25000,20,0x40573CEC,0,0,1,2,21,3308,0x0A,0x1A
90,25000,20,0x40573CFC,0,0,1,2,21,3324,0x0A,0x02
