reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,0,0x4809C6C6,1,0,0,0,257,1862,0x68,0x60
90,25000,0,0x4809C6DE,1,0,0,0,257,1886,0x68,0x60
90,25000,0,0x4809C6F6,1,0,0,0,257,1910,0x68,0x6C
90,25000,0,0x4809C6FE,1,0,0,0,257,1918,0x68,0x6C
90,25000,0,0x4809C742,1,0,1,0,257,1794,0xAA,0xBA
90,25000,0,0x4809C746,1,0,1,0,257,1798,0x68,0x6A
90,25000,0,0x480A0756,1,0,1,0,257,2070,0x68,0xF8
90,25000,0,0x480A077E,1,0,1,0,257,2110,0x68,0x60
90,25000,0,0x480A67EE,1,0,1,0,257,2542,0x68,0x28
90,25000,0,0x480A67F2,1,0,1,0,257,2546,0xAA,0xBA
90,25000,0,0x480B07E6,1,0,1,0,257,3174,0x68,0x60
90,25000,0,0x480B07FE,1,0,1,0,257,3198,0x68,0x69
90,25000,0,0x48092456,1,0,2,0,257,1174,0x68,0x48
90,25000,0,0x4809246E,1,0,2,0,257,1198,0x68,0x78
90,25000,0,0x48092472,1,0,2,0,257,1202,0xAA,0xAB
90,25000,0,0x440826C7,1,0,3,0,129,199,0x00,0x80
90,25000,0,0x440826D7,1,0,3,0,129,215,0x00,0x80
90,25000,0,0x480865D6,1,0,3,0,257,470,0x68,0x48
90,25000,0,0x480865E2,1,0,3,0,257,482,0xAA,0xBA
90,25000,0,0x480865FE,1,0,3,0,257,510,0x68,0x69
90,25000,0,0x480945DA,1,0,3,0,257,1370,0xAA,0xBA
90,25000,0,0x480945E2,1,0,3,0,257,1378,0xAA,0xAB
90,25000,0,0x480945EA,1,0,3,0,257,1386,0xAA,0x8A
90,25000,3,0x40206202,1,0,3,0,4,386,0xAA,0xAB
90,25000,3,0x40206206,1,0,3,0,4,390,0x68,0x48
90,25000,3,0x40206216,1,0,3,0,4,406,0x68,0x78
90,25000,4,0x4C2BC4D7,1,0,2,0,389,3927,0x00,0x04
90,25000,4,0x4C2BC4F3,1,0,2,0,389,3955,0xAA,0xAE
90,25000,4,0x4C2A05FF,1,0,3,0,389,2175,0x00,0x12
90,25000,5,0x4C308AE0,1,0,0,0,390,608,0xD3,0x93
90,25000,5,0x4C308AEC,1,0,0,0,390,620,0x0A,0x0B
90,25000,5,0x4830EA80,1,0,1,0,262,960,0xD3,0x53
90,25000,5,0x4830EA9C,1,0,1,0,262,988,0x0A,0x0E
90,25000,5,0x4831C900,1,0,2,0,262,1792,0xD3,0x93
90,25000,5,0x4831C904,1,0,2,0,262,1796,0x0A,0x8A
90,25000,5,0x4831C91C,1,0,2,0,262,1820,0x0A,0x02
90,25000,5,0x4033EA41,1,0,3,0,6,3969,0xAF,0xAE
90,25000,5,0x4033EA61,1,0,3,0,6,4001,0xAF,0xBF
90,25000,5,0x4033EA71,1,0,3,0,6,4017,0xAF,0x8F
90,25000,5,0x4833E880,1,0,3,0,262,4032,0xD3,0xC3
90,25000,5,0x4833E88C,1,0,3,0,262,4044,0x0A,0x1A
90,25000,5,0x4833E8A8,1,0,3,0,262,4072,0xD3,0xD2
90,25000,5,0x4833E8BC,1,0,3,0,262,4092,0x0A,0x0B
90,25000,6,0x44392CC5,1,0,0,0,135,1221,0x00,0x20
90,25000,6,0x44392CE9,1,0,0,0,135,1257,0xAF,0xBF
90,25000,6,0x44392CF5,1,0,0,0,135,1269,0x00,0x01
90,25000,6,0x4838CDEC,1,0,2,0,263,876,0x0A,0x02
90,25000,6,0x4838CDF4,1,0,2,0,263,884,0x0A,0x02
90,25000,9,0x4C508942,1,0,0,0,394,514,0xAA,0xA2
90,25000,9,0x4C50894E,1,0,0,0,394,526,0x68,0x28
90,25000,9,0x4C508956,1,0,0,0,394,534,0x68,0xE8
90,25000,9,0x4C53E952,1,0,0,0,394,3986,0xAA,0xEA
90,25000,9,0x4C53E962,1,0,0,0,394,4002,0xAA,0xEA
90,25000,9,0x4852AAA6,1,0,2,0,266,2790,0x68,0x6A
90,25000,9,0x4852AAB2,1,0,2,0,266,2802,0xAA,0x8A
90,25000,10,0x44592F4A,1,0,0,0,139,1162,0xAA,0xA2
90,25000,10,0x44592F52,1,0,0,0,139,1170,0xAA,0xAE
90,25000,10,0x44592F5A,1,0,0,0,139,1178,0xAA,0xBA
90,25000,10,0x4C5A6F9E,1,0,2,0,395,2526,0x68,0x48
90,25000,10,0x4C5A6FBA,1,0,2,0,395,2554,0xAA,0xA8
90,25000,10,0x44586CDE,1,0,3,0,139,478,0x68,0x78
90,25000,10,0x44586CE2,1,0,3,0,139,482,0xAA,0xEA
90,25000,12,0x406BE786,1,0,0,0,13,4038,0x68,0x60
90,25000,12,0x406BE78A,1,0,0,0,13,4042,0xAA,0x2A
90,25000,12,0x406BE796,1,0,0,0,13,4054,0x68,0x28
90,25000,12,0x40682402,1,0,3,0,13,130,0xAA,0xAB
90,25000,12,0x446BE5C6,1,0,3,0,141,4038,0x68,0x69
90,25000,12,0x446BE5F2,1,0,3,0,141,4082,0xAA,0x8A
90,25000,12,0x446BE5FE,1,0,3,0,141,4094,0x68,0x78
90,25000,13,0x44716842,1,0,2,0,142,1410,0xAA,0xAB
90,25000,13,0x4471685A,1,0,2,0,142,1434,0xAA,0xA2
90,25000,15,0x448070C6,1,0,1,0,144,454,0x68,0x28
90,25000,15,0x448070FA,1,0,1,0,144,506,0xAA,0xA2
90,25000,15,0x448070FE,1,0,1,0,144,510,0x68,0xE8
90,25000,15,0x488073C5,1,0,1,0,272,453,0x00,0x20
90,25000,15,0x488073D9,1,0,1,0,272,473,0xAF,0xEF
90,25000,16,0x408A34C6,1,0,0,0,17,2246,0x68,0x6C
90,25000,16,0x408A34D6,1,0,0,0,17,2262,0x68,0x6C
90,25000,16,0x4489570E,1,0,2,0,145,1294,0x68,0x6A
90,25000,16,0x4489573A,1,0,2,0,145,1338,0xAA,0xBA
90,25000,16,0x448AD71E,1,0,2,0,145,2846,0x68,0x6A
90,25000,16,0x448AD726,1,0,2,0,145,2854,0x68,0x60
90,25000,16,0x4488562A,1,0,3,0,145,298,0xAA,0xAB
90,25000,16,0x4488563A,1,0,3,0,145,314,0xAA,0xEA
90,25000,16,0x448B7602,1,0,3,0,145,3458,0xAA,0xBA
90,25000,16,0x448B7622,1,0,3,0,145,3490,0xAA,0x8A
90,25000,16,0x448B7632,1,0,3,0,145,3506,0xAA,0xAB
90,25000,17,0x4892DB80,1,0,1,0,274,2880,0xD3,0xDB
90,25000,17,0x4892DBBC,1,0,1,0,274,2940,0x0A,0x0B
90,25000,17,0x44905B93,1,0,2,0,146,339,0xAA,0xA8
90,25000,17,0x44905B9F,1,0,2,0,146,351,0x00,0x20
90,25000,17,0x4890389C,1,0,2,0,274,220,0x0A,0x02
90,25000,17,0x489038BC,1,0,2,0,274,252,0x0A,0x02
90,25000,18,0x40983DAF,1,0,1,0,19,239,0x00,0x01
90,25000,18,0x40983DBF,1,0,1,0,19,255,0x00,0x01
90,25000,18,0x409ABD2B,1,0,1,0,19,2731,0xAA,0xAB
90,25000,18,0x409ABD33,1,0,1,0,19,2739,0xAA,0xAB
90,25000,18,0x409A5F8B,1,0,3,0,19,2379,0xAA,0xA8
90,25000,18,0x409A5F9F,1,0,3,0,19,2399,0x00,0x04
90,25000,20,0x40AB140D,1,0,1,0,21,3085,0x00,0x02
90,25000,20,0x40AB1429,1,0,1,0,21,3113,0xAF,0x2F
90,25000,20,0x40AB1435,1,0,1,0,21,3125,0x00,0x01
90,25000,20,0x40AB3601,1,0,3,0,21,3201,0xAF,0x8F
90,25000,20,0x40AB3625,1,0,3,0,21,3237,0x00,0x40
90,25000,21,0x48B39AE4,1,0,1,0,278,3684,0x0A,0x8A
90,25000,21,0x48B39AE8,1,0,1,0,278,3688,0xD3,0x53
90,25000,22,0x40BB9D53,1,0,0,0,23,3603,0xAA,0xAE
90,25000,22,0x40BB9D67,1,0,0,0,23,3623,0x00,0x10
90,25000,22,0x40BB9D77,1,0,0,0,23,3639,0x00,0x08
90,25000,23,0x44C07317,1,0,0,0,152,407,0x00,0x10
90,25000,23,0x44C07337,1,0,0,0,152,439,0x00,0x10
90,25000,23,0x44C0B293,1,0,1,0,152,723,0xAA,0xAE
90,25000,23,0x44C0B297,1,0,1,0,152,727,0x00,0x18
90,25000,23,0x44C15213,1,0,1,0,152,1299,0xAA,0xEA
90,25000,23,0x44C1522F,1,0,1,0,152,1327,0x00,0x80
90,25000,23,0x44C15237,1,0,1,0,152,1335,0x00,0x08
90,25000,23,0x44C31197,1,0,2,0,152,3159,0x00,0x10
90,25000,23,0x44C311A7,1,0,2,0,152,3175,0x00,0x01
90,25000,23,0x44C311AB,1,0,2,0,152,3179,0xAA,0x8A
90,25000,23,0x44C27083,1,0,3,0,152,2499,0xAA,0xA8
90,25000,23,0x44C270AB,1,0,3,0,152,2539,0xAA,0xBA
90,25000,28,0x40EAD46E,1,0,3,0,29,2862,0x68,0x28
90,25000,28,0x40EAD476,1,0,3,0,29,2870,0x68,0x6C
90,25000,29,0x44F19A0F,1,0,0,0,158,1551,0x00,0x10
90,25000,29,0x44F19A2B,1,0,0,0,158,1579,0xAA,0xA2
90,25000,29,0x44F19A3F,1,0,0,0,158,1599,0x00,0x04
90,25000,29,0x44F2BA93,1,0,0,0,158,2771,0xAA,0x2A
90,25000,29,0x44F2BAA3,1,0,0,0,158,2787,0xAA,0x8A
90,25000,29,0x44F0988B,1,0,2,0,158,587,0xAA,0x8A
90,25000,29,0x44F0989F,1,0,2,0,158,607,0x00,0x40
90,25000,29,0x44F1988F,1,0,2,0,158,1615,0x00,0x80
90,25000,29,0x44F1989F,1,0,2,0,158,1631,0x00,0x80
90,25000,29,0x44F23887,1,0,2,0,158,2247,0x00,0x40
90,25000,29,0x44F238A7,1,0,2,0,158,2279,0x00,0x08
90,25000,29,0x44F238B3,1,0,2,0,158,2291,0xAA,0x2A
